"","x"
"form_of_address",0.0496647442686096
"title",8.41719411982736e-05
"email_domain",0.00372678622058434
"newsletter",0.0461258566001097
"model",0.0195474748997315
"payment",0.0248557097914095
"delivery",0.0247684049499778
"postcode_invoice",0.0233164400843464
"postcode_delivery",0.022705320044683
"coupon",0.00521073823100986
"advertising_code",0.0356095047203072
"giftwrapping",0.000168677677396708
"referrer",0.0143610569438559
"cost_shipping",0.0412040732990073
"postcode_delivery_missing",0.00115350847275547
"postcodes_different",0.00159761176512128
"account_creation_date_missing",0.000112074538319055
"deliverydate_estimated_outliers",7.59369986263722e-07
"deliverydate_actual_missing",0.00187160853484412
"weight_missing",2.49642686779198e-05
